hash,id,fecha_vencimiento,divisa,nombre_cliente,fecha_emision,importe,concepto
10002183##remesasbancos,10002183,2022-10-04,EUR,remesasbancos,2022-10-04,"-9269,25",remesa 04-10-2022
"fsabv-2679##pluvisilva, s.l.",fsabv-2679,2023-03-14,EUR,"pluvisilva, s.l.",2022-12-14,-2856,honorarios 4t 2022
10002205##remesasbancos,10002205,2022-10-28,EUR,remesasbancos,2022-10-28,"-2674,69",remesa 28-10-2022
10002227##remesasbancos,10002227,2022-11-30,EUR,remesasbancos,2022-11-30,"-2674,69",remesa 30-11-2022
10002238##remesasbancos,10002238,2022-12-19,EUR,remesasbancos,2022-12-19,"-2447,42",remesa 19-12-2022
fsabv-2351##empresa 1,fsabv-2351,2022-10-01,EUR,empresa 1,2022-10-01,"-2438,88",alquiler oficina barcelona oct 2022
fsabv-2501##empresa 1,fsabv-2501,2022-11-01,EUR,empresa 1,2022-11-01,"-2438,88",alquiler oficina barcelona nov 2022
fsabv-2621##empresa 1,fsabv-2621,2022-12-01,EUR,empresa 1,2022-12-01,"-2438,88",alquiler oficina barcelona dic 2022
"fsabv-2353##monday by urbania 4, s.l.",fsabv-2353,2022-10-05,EUR,"monday by urbania 4, s.l.",2022-10-01,"-2300,97",fianza + alquiler oficina madrid oct 2022
"fsabv-2623##monday by urbania 4, s.l.",fsabv-2623,2022-12-05,EUR,"monday by urbania 4, s.l.",2022-12-01,"-1858,08",alquiler oficina madrid dic 2022
"fsabv-2503##monday by urbania 4, s.l.",fsabv-2503,2022-11-05,EUR,"monday by urbania 4, s.l.",2022-11-01,"-1854,69",alquiler oficina madrid nov 2022
"fsabv-2680##becat, s.l.",fsabv-2680,2022-12-15,EUR,"becat, s.l.",2022-12-15,-1836,honorarios 4t 2022
10002190##remesasbancos,10002190,2022-10-10,EUR,remesasbancos,2022-10-10,"-1534,28",remesa 10-10-2022
"fsabv-2612##vinyals corredora dassegurances, s.a.",fsabv-2612,2022-12-01,EUR,"vinyals corredora dassegurances, s.a.",2022-12-01,"-1440,39","pol. ea10pi1329 seguro serv. marketing, publicidad y diseno (01/11/2022 - 01/05/2023)"
fsabv-2352##hijos de mercedes prieto cb,fsabv-2352,2022-10-05,EUR,hijos de mercedes prieto cb,2022-10-01,"-1144,37",alquiler oficina vigo oct 2022
fsabv-2502##hijos de mercedes prieto cb,fsabv-2502,2022-11-05,EUR,hijos de mercedes prieto cb,2022-11-01,"-1144,37",alquiler oficina vigo nov 2022
fsabv-2622##hijos de mercedes prieto cb,fsabv-2622,2022-12-05,EUR,hijos de mercedes prieto cb,2022-12-01,"-1144,37",alquiler oficina vigo dic 2022
"fsabv-2624##inversiones mobiliarias e inmobiliarias, s.l.",fsabv-2624,2022-12-01,EUR,"inversiones mobiliarias e inmobiliarias, s.l.",2022-12-01,"-959,94",alquiler ballester 40-42 dic 2022 + suministros agua y luz
"fsabv-2355##inversiones mobiliarias e inmobiliarias, s.l.",fsabv-2355,2022-10-01,EUR,"inversiones mobiliarias e inmobiliarias, s.l.",2022-10-01,"-926,17",alquiler ballester 40-42 oct 2022 + suministros agua y luz
"fsabv-2563##vinyals corredora dassegurances, s.a.",fsabv-2563,2022-11-24,EUR,"vinyals corredora dassegurances, s.a.",2022-11-24,"-517,14",poliza pol. ea16fb1067 seguro responsabilidad civil directivos (17/11/2022  17/11/2023)
10002222##remesasbancos,10002222,2022-11-18,EUR,remesasbancos,2022-11-18,"-487,8",remesa 18-11-2022
"fsabv-2644##about pr, s.l.",fsabv-2644,2023-01-05,EUR,"about pr, s.l.",2022-12-05,"-459,8",honorarios estrategia y consultoria y relaciones con los medios dic 2022
